Data,S&P Comp. P,Dividend D,Earnings E,Consumer Price Index CPI,Date Fraction,Long Interest Rate GS10,Real Price,Real Dividend,Real Total Return Price ,RealEarnings,Real TR Scaled Earnings ,Cyclically Adjusted P/E10 or CAPE,,Cyclically Adjusted TR P/E10 or TR CAPE,Excess CAPE Yield,Monthly Total Bond Returns,Real Total Bond Returns,10 Year Annualized Stock Real Return,10 Year Annualized Bonds Real Return,Real 10 Year Excess Annualized  Returns
1871.01,4.44,0.26,0.4,12.46,1871.04,5.32,112.21,6.57,112.21,10.11,10.11,NA,,NA,,1,1,13.06%,9.25%,3.81%
1871.02,4.5,0.26,0.4,12.84,1871.13,5.32,110.35,6.38,110.88,9.81,9.86,NA,,NA,,1,0.97,13.09%,9.46%,3.62%
1871.03,4.61,0.26,0.4,13.03,1871.21,5.33,111.4,6.28,112.46,9.67,9.76,NA,,NA,,1,0.96,13.10%,9.62%,3.48%
1871.04,4.74,0.26,0.4,12.56,1871.29,5.33,118.88,6.52,120.56,10.03,10.17,NA,,NA,,1,1,12.21%,9.10%,3.11%
1871.05,4.86,0.26,0.4,12.27,1871.38,5.33,124.72,6.67,127.05,10.27,10.46,NA,,NA,,1,1.03,12.26%,8.95%,3.31%
1871.06,4.82,0.26,0.4,12.08,1871.46,5.34,125.65,6.78,128.57,10.43,10.67,NA,,NA,,1,1.05,12.31%,8.77%,3.54%
1871.07,4.73,0.26,0.4,12.08,1871.54,5.34,123.3,6.78,126.74,10.43,10.72,NA,,NA,,1,1.06,12.00%,8.66%,3.34%
1871.08,4.79,0.26,0.4,11.89,1871.63,5.34,126.86,6.89,131,10.59,10.94,NA,,NA,,1,1.08,11.19%,8.27%,2.93%
1871.09,4.84,0.26,0.4,12.18,1871.71,5.35,125.18,6.72,129.84,10.35,10.73,NA,,NA,,1,1.06,11.00%,8.10%,2.90%
1871.1,4.59,0.26,0.4,12.37,1871.79,5.35,116.89,6.62,121.81,10.19,10.62,NA,,NA,,1,1.05,11.48%,8.17%,3.31%
1871.11,4.64,0.26,0.4,12.37,1871.88,5.35,118.16,6.62,123.71,10.19,10.66,NA,,NA,,1,1.05,11.53%,8.26%,3.27%
1871.12,4.74,0.26,0.4,12.65,1871.96,5.36,117.99,6.47,124.09,9.96,10.47,NA,,NA,,1,1.03,11.21%,8.50%,2.71%
1872.01,4.86,0.26,0.4,12.65,1872.04,5.36,120.97,6.55,127.81,10.02,10.59,NA,,NA,,1,1.04,10.77%,8.49%,2.28%
1872.02,4.88,0.27,0.41,12.65,1872.13,5.38,121.47,6.64,128.92,10.08,10.7,NA,,NA,,1,1.04,10.38%,8.39%,1.98%
1872.03,5.04,0.27,0.41,12.84,1872.21,5.4,123.6,6.62,131.76,9.99,10.65,NA,,NA,,1,1.03,10.17%,8.55%,1.62%
1872.04,5.18,0.27,0.41,13.13,1872.29,5.42,124.27,6.56,133.06,9.84,10.53,NA,,NA,,1,1.01,10.01%,8.69%,1.32%
1872.05,5.18,0.28,0.41,13.13,1872.38,5.43,124.27,6.64,133.65,9.9,10.64,NA,,NA,,1,1.01,9.78%,8.59%,1.19%
1872.06,5.13,0.28,0.42,13.03,1872.46,5.45,123.97,6.77,133.93,10.03,10.83,NA,,NA,,1,1.02,9.65%,8.41%,1.24%
1872.07,5.1,0.28,0.42,12.84,1872.54,5.47,125.07,6.95,135.75,10.24,11.11,NA,,NA,,1,1.04,10.25%,8.35%,1.90%
1872.08,5.04,0.29,0.42,12.94,1872.63,5.49,122.69,6.98,133.8,10.22,11.15,NA,,NA,,1,1.04,10.68%,8.32%,2.36%
1872.09,4.95,0.29,0.42,13.03,1872.71,5.51,119.62,7.01,131.08,10.21,11.19,NA,,NA,,1,1.03,11.37%,8.70%,2.67%
1872.1,4.97,0.29,0.43,12.75,1872.79,5.53,122.79,7.25,135.22,10.5,11.56,NA,,NA,,1,1.06,10.87%,8.56%,2.31%
1872.11,4.95,0.3,0.43,13.13,1872.88,5.54,118.75,7.12,131.43,10.26,11.35,NA,,NA,,1,1.03,10.86%,8.98%,1.88%
1872.12,5.07,0.3,0.43,12.94,1872.96,5.56,123.42,7.3,137.27,10.47,11.64,NA,,NA,,1,1.05,10.59%,8.92%,1.67%
1873.01,5.11,0.3,0.43,12.94,1873.04,5.58,124.39,7.36,139.03,10.53,11.77,NA,,NA,,1.01,1.05,10.44%,8.91%,1.52%
1873.02,5.15,0.31,0.44,13.23,1873.13,5.57,122.66,7.26,137.77,10.36,11.64,NA,,NA,,1.01,1.03,10.24%,9.02%,1.21%
1873.03,5.11,0.31,0.44,13.23,1873.21,5.56,121.71,7.32,137.39,10.42,11.76,NA,,NA,,1.01,1.04,10.56%,9.10%,1.46%
1873.04,5.04,0.31,0.44,13.23,1873.29,5.55,120.04,7.38,136.2,10.48,11.89,NA,,NA,,1.01,1.05,11.04%,9.18%,1.86%
1873.05,5.05,0.31,0.44,12.94,1873.38,5.54,122.93,7.61,140.2,10.77,12.28,NA,,NA,,1.01,1.07,10.69%,9.03%,1.66%
1873.06,4.98,0.32,0.45,12.56,1873.46,5.53,124.9,7.9,143.2,11.16,12.8,NA,,NA,,1.01,1.11,10.93%,9.00%,1.93%
1873.07,4.97,0.32,0.45,12.56,1873.54,5.53,124.65,7.96,143.67,11.22,12.94,NA,,NA,,1.01,1.12,11.00%,9.20%,1.80%
1873.08,4.97,0.32,0.45,12.56,1873.63,5.52,124.65,8.03,144.44,11.29,13.08,NA,,NA,,1.01,1.12,10.48%,9.17%,1.31%
1873.09,4.59,0.32,0.45,12.56,1873.71,5.51,115.12,8.09,134.18,11.35,13.23,NA,,NA,,1.01,1.13,11.59%,9.26%,2.33%
1873.1,4.19,0.33,0.46,12.27,1873.79,5.5,107.53,8.34,126.14,11.68,13.7,NA,,NA,,1.01,1.16,12.02%,8.99%,3.04%
1873.11,4.04,0.33,0.46,11.89,1873.88,5.49,107,8.67,126.37,12.12,14.31,NA,,NA,,1.01,1.21,12.34%,8.73%,3.61%
1873.12,4.42,0.33,0.46,12.18,1873.96,5.48,114.32,8.54,135.85,11.9,14.14,NA,,NA,,1.01,1.18,11.23%,8.85%,2.37%
1874.01,4.66,0.33,0.46,12.37,1874.04,5.47,118.67,8.4,141.86,11.71,14,NA,,NA,,1.01,1.17,10.47%,9.00%,1.47%
1874.02,4.8,0.33,0.46,12.37,1874.13,5.44,122.24,8.4,146.96,11.71,14.08,NA,,NA,,1.01,1.18,10.43%,8.96%,1.47%
1874.03,4.73,0.33,0.46,12.37,1874.21,5.4,120.45,8.4,145.66,11.71,14.17,NA,,NA,,1.01,1.19,10.54%,8.92%,1.62%
1874.04,4.6,0.33,0.46,12.18,1874.29,5.37,118.97,8.54,144.73,11.9,14.47,NA,,NA,,1.01,1.22,10.39%,8.95%,1.44%
1874.05,4.48,0.33,0.46,12.08,1874.38,5.34,116.78,8.6,142.93,11.99,14.68,NA,,NA,,1.01,1.23,9.89%,9.06%,0.84%
1874.06,4.46,0.33,0.46,11.8,1874.46,5.3,119.07,8.81,146.64,12.28,15.12,NA,,NA,,1.01,1.27,9.22%,8.76%,0.46%
1874.07,4.46,0.33,0.46,11.89,1874.54,5.27,118.12,8.74,146.36,12.18,15.1,NA,,NA,,1.01,1.27,9.43%,8.93%,0.50%
1874.08,4.47,0.33,0.46,11.8,1874.63,5.24,119.34,8.81,148.78,12.28,15.31,NA,,NA,,1.01,1.29,9.98%,8.81%,1.17%
1874.09,4.54,0.33,0.46,11.8,1874.71,5.2,121.21,8.81,152.03,12.28,15.4,NA,,NA,,1.01,1.3,9.57%,8.89%,0.68%
1874.1,4.53,0.33,0.46,11.61,1874.79,5.17,122.93,8.95,155.12,12.48,15.75,NA,,NA,,1.01,1.33,9.17%,8.80%,0.37%
1874.11,4.57,0.33,0.46,11.51,1874.88,5.14,125.04,9.03,158.73,12.59,15.98,NA,,NA,,1.01,1.35,9.01%,8.92%,0.09%
1874.12,4.54,0.33,0.46,11.51,1874.96,5.1,124.22,9.03,158.64,12.59,16.07,NA,,NA,,1.01,1.36,9.18%,9.01%,0.17%
1875.01,4.54,0.33,0.45,11.51,1875.04,5.07,124.22,8.96,159.59,12.36,15.88,NA,,NA,,1.01,1.37,8.92%,8.97%,-0.05%
1875.02,4.53,0.33,0.44,11.51,1875.13,5.03,123.94,8.89,160.19,12.13,15.68,NA,,NA,,1.01,1.38,9.15%,8.81%,0.34%
1875.03,4.59,0.32,0.44,11.51,1875.21,4.99,125.58,8.82,163.27,11.9,15.47,NA,,NA,,1.01,1.39,9.28%,9.03%,0.25%
1875.04,4.65,0.32,0.43,11.61,1875.29,4.95,126.18,8.68,164.99,11.58,15.14,NA,,NA,,1.01,1.39,9.07%,8.95%,0.12%
1875.05,4.47,0.32,0.42,11.32,1875.38,4.91,124.36,8.83,163.56,11.64,15.31,NA,,NA,,1.01,1.43,9.35%,8.90%,0.45%
1875.06,4.38,0.32,0.41,11.13,1875.46,4.87,123.93,8.91,163.98,11.6,15.35,NA,,NA,,1.01,1.47,9.59%,8.94%,0.65%
1875.07,4.39,0.31,0.4,11.13,1875.54,4.83,124.22,8.84,165.33,11.37,15.13,NA,,NA,,1.01,1.48,9.83%,8.77%,1.05%
1875.08,4.41,0.31,0.39,11.23,1875.63,4.79,123.73,8.7,165.64,11.03,14.77,NA,,NA,,1.01,1.48,10.46%,8.83%,1.63%
1875.09,4.37,0.31,0.39,11.13,1875.71,4.75,123.65,8.7,166.51,10.89,14.67,NA,,NA,,1.01,1.5,10.44%,8.83%,1.61%
1875.1,4.3,0.31,0.38,11.13,1875.79,4.71,121.67,8.63,164.82,10.66,14.44,NA,,NA,,1.01,1.51,11.23%,8.80%,2.43%
1875.11,4.37,0.3,0.37,11.04,1875.88,4.67,124.72,8.63,169.92,10.51,14.32,NA,,NA,,1.01,1.53,11.50%,8.54%,2.96%
1875.12,4.37,0.3,0.36,10.94,1875.96,4.63,125.8,8.64,172.38,10.36,14.2,NA,,NA,,1.01,1.56,11.04%,8.16%,2.88%
1876.01,4.46,0.3,0.35,10.85,1876.04,4.59,129.52,8.71,178.46,10.26,14.14,NA,,NA,,1,1.58,10.95%,8.28%,2.67%
1876.02,4.52,0.3,0.35,10.85,1876.13,4.58,131.26,8.71,181.87,10.07,13.95,NA,,NA,,1,1.59,11.00%,8.25%,2.75%
1876.03,4.51,0.3,0.34,10.85,1876.21,4.57,130.97,8.71,182.47,9.87,13.76,NA,,NA,,1,1.6,10.90%,8.35%,2.55%
1876.04,4.34,0.3,0.33,10.75,1876.29,4.56,127.15,8.79,178.16,9.76,13.68,NA,,NA,,1,1.62,11.19%,8.35%,2.84%
1876.05,4.18,0.3,0.33,10.37,1876.38,4.54,126.96,9.11,178.96,9.92,13.99,NA,,NA,,1,1.69,11.24%,8.20%,3.04%
1876.06,4.15,0.3,0.32,10.09,1876.46,4.53,129.61,9.37,183.8,9.99,14.17,NA,,NA,,1,1.74,11.62%,8.00%,3.62%
1876.07,4.1,0.3,0.31,10.09,1876.54,4.52,128.05,9.37,182.7,9.78,13.96,NA,,NA,,1,1.75,11.76%,7.83%,3.93%
1876.08,3.93,0.3,0.31,10.18,1876.62,4.51,121.59,9.28,174.59,9.49,13.62,NA,,NA,,1,1.74,12.25%,7.77%,4.48%
1876.09,3.69,0.3,0.3,10.28,1876.71,4.5,113.11,9.2,163.51,9.2,13.29,NA,,NA,,1,1.74,13.32%,7.84%,5.48%
1876.1,3.67,0.3,0.29,10.47,1876.79,4.49,110.45,9.03,160.75,8.83,12.85,NA,,NA,,1,1.71,13.84%,8.01%,5.83%
1876.11,3.6,0.3,0.29,10.56,1876.87,4.47,107.37,8.95,157.35,8.55,12.53,NA,,NA,,1,1.71,14.39%,8.07%,6.32%
1876.12,3.58,0.3,0.28,10.75,1876.96,4.46,104.88,8.79,154.78,8.2,12.11,NA,,NA,,1,1.68,14.18%,8.10%,6.08%
1877.01,3.55,0.29,0.28,10.94,1877.04,4.45,102.2,8.37,151.84,8.11,12.05,NA,,NA,,1,1.66,14.04%,8.00%,6.04%
1877.02,3.34,0.28,0.28,10.66,1877.12,4.44,98.73,8.33,147.72,8.37,12.53,NA,,NA,,1,1.71,14.18%,7.56%,6.61%
1877.03,3.17,0.27,0.29,10.18,1877.21,4.43,98.08,8.43,147.8,8.82,13.29,NA,,NA,,1,1.8,14.47%,7.05%,7.43%
1877.04,2.94,0.26,0.29,10.47,1877.29,4.42,88.48,7.92,134.34,8.63,13.1,NA,,NA,,1,1.76,15.87%,7.32%,8.56%
1877.05,2.94,0.25,0.29,10.66,1877.37,4.41,86.9,7.51,132.89,8.52,13.03,NA,,NA,,1,1.74,16.23%,7.48%,8.75%
1877.06,2.73,0.25,0.29,10.09,1877.46,4.4,85.26,7.65,131.36,9.06,13.95,NA,,NA,,1,1.84,16.21%,6.99%,9.21%
1877.07,2.85,0.24,0.29,10.18,1877.54,4.4,88.18,7.3,136.78,9.03,14,NA,,NA,,1,1.83,15.63%,7.20%,8.43%
1877.08,3.05,0.23,0.29,9.8,1877.62,4.39,98.03,7.29,153.01,9.43,14.71,NA,,NA,,1,1.91,13.96%,6.63%,7.32%
1877.09,3.24,0.22,0.3,9.7,1877.71,4.38,105.16,7.06,165.05,9.57,15.03,NA,,NA,,1,1.94,13.13%,6.63%,6.50%
1877.1,3.31,0.21,0.3,9.7,1877.79,4.37,107.43,6.76,169.5,9.63,15.19,NA,,NA,,1,1.95,12.35%,6.48%,5.87%
1877.11,3.26,0.2,0.3,9.51,1877.87,4.36,107.92,6.59,171.15,9.88,15.66,NA,,NA,,1,2,12.37%,6.12%,6.25%
1877.12,3.25,0.19,0.3,9.51,1877.96,4.35,107.59,6.29,171.46,9.93,15.83,NA,,NA,,1,2,12.07%,5.85%,6.22%
1878.01,3.25,0.19,0.3,9.23,1878.04,4.34,110.92,6.46,177.62,10.27,16.44,NA,,NA,,1,2.08,11.67%,5.38%,6.30%
1878.02,3.18,0.19,0.3,9.13,1878.12,4.33,109.66,6.49,176.47,10.4,16.74,NA,,NA,,1,2.11,11.85%,5.39%,6.46%
1878.03,3.24,0.19,0.3,8.94,1878.21,4.32,114.11,6.6,184.51,10.65,17.23,NA,,NA,,1,2.16,10.97%,5.17%,5.80%
1878.04,3.33,0.19,0.3,8.85,1878.29,4.31,118.54,6.65,192.57,10.8,17.54,NA,,NA,,1,2.19,10.71%,5.18%,5.53%
1878.05,3.34,0.19,0.3,8.56,1878.37,4.3,122.86,6.83,200.51,11.19,18.26,NA,,NA,,1,2.28,10.59%,4.96%,5.63%
1878.06,3.41,0.19,0.31,8.37,1878.46,4.29,128.28,6.96,210.31,11.47,18.81,NA,,NA,,1,2.34,9.89%,4.85%,5.04%
1878.07,3.48,0.18,0.31,8.47,1878.54,4.28,129.45,6.85,213.15,11.38,18.73,NA,,NA,,1,2.32,9.94%,4.85%,5.09%
1878.08,3.45,0.18,0.31,8.56,1878.62,4.27,126.91,6.74,209.89,11.28,18.66,NA,,NA,,1,2.31,10.38%,4.97%,5.42%
1878.09,3.52,0.18,0.31,8.56,1878.71,4.26,129.48,6.71,215.08,11.31,18.79,NA,,NA,,1,2.32,10.42%,4.97%,5.46%
1878.1,3.48,0.18,0.31,8.47,1878.79,4.25,129.45,6.76,215.96,11.47,19.13,NA,,NA,,1,2.35,10.23%,4.73%,5.50%
1878.11,3.47,0.18,0.31,8.37,1878.87,4.24,130.54,6.8,218.73,11.63,19.49,NA,,NA,,1,2.39,9.77%,4.49%,5.28%
1878.12,3.45,0.18,0.31,8.18,1878.96,4.23,132.81,6.93,223.49,11.93,20.08,NA,,NA,,1,2.46,9.37%,4.25%,5.11%
1879.01,3.58,0.18,0.32,8.28,1879.04,4.22,136.23,6.91,230.22,12.02,20.31,NA,,NA,,1,2.44,9.68%,4.74%,4.94%
1879.02,3.71,0.18,0.32,8.37,1879.12,4.2,139.57,6.9,236.84,12.1,20.54,NA,,NA,,1,2.42,9.66%,4.97%,4.69%
1879.03,3.65,0.19,0.33,8.28,1879.21,4.19,138.89,7.04,236.68,12.46,21.24,NA,,NA,,1,2.46,9.61%,4.96%,4.66%
1879.04,3.77,0.19,0.33,8.18,1879.29,4.17,145.13,7.19,248.33,12.83,21.95,NA,,NA,,1,2.5,9.10%,4.82%,4.29%
1879.05,3.94,0.19,0.34,8.18,1879.37,4.15,151.67,7.25,260.56,13.06,22.43,NA,,NA,,1,2.52,9.18%,5.06%,4.12%
1879.06,3.96,0.19,0.35,8.09,1879.46,4.14,154.23,7.4,266.02,13.44,23.18,NA,,NA,,1,2.56,9.17%,4.92%,4.26%
1879.07,4.04,0.19,0.35,8.18,1879.54,4.12,155.52,7.38,269.3,13.5,23.38,NA,,NA,,1,2.54,8.85%,5.02%,3.83%
1879.08,4.07,0.19,0.36,8.18,1879.62,4.1,156.68,7.44,272.37,13.73,23.87,NA,,NA,,1,2.55,8.91%,5.00%,3.91%
1879.09,4.22,0.2,0.36,8.47,1879.71,4.09,156.97,7.25,273.94,13.48,23.53,NA,,NA,,1,2.48,9.01%,5.21%,3.80%
1879.1,4.68,0.2,0.37,8.94,1879.79,4.07,164.83,6.93,288.65,12.97,22.72,NA,,NA,,1,2.36,8.28%,5.77%,2.51%
1879.11,4.93,0.2,0.37,9.42,1879.87,4.05,164.86,6.63,289.68,12.51,21.99,NA,,NA,,1,2.25,8.18%,6.31%,1.87%
1879.12,4.92,0.2,0.38,9.7,1879.96,4.04,159.69,6.49,281.54,12.33,21.75,NA,,NA,,1,2.19,8.33%,6.47%,1.86%
1880.01,5.11,0.21,0.39,9.99,1880.04,4.02,161.11,6.46,285.01,12.27,21.71,NA,,NA,,1.01,2.14,8.62%,7.03%,1.59%
1880.02,5.2,0.21,0.4,9.99,1880.12,3.99,163.95,6.62,291,12.56,22.29,NA,,NA,,1.01,2.15,8.31%,6.99%,1.33%
1880.03,5.3,0.22,0.41,10.09,1880.21,3.97,165.53,6.71,294.8,12.73,22.67,NA,,NA,,1.01,2.14,8.13%,7.04%,1.08%
1880.04,5.18,0.22,0.42,9.7,1880.29,3.94,168.13,7.14,300.48,13.52,24.17,NA,,NA,,1.01,2.24,8.18%,6.59%,1.59%
1880.05,4.77,0.23,0.43,9.42,1880.37,3.91,159.51,7.52,286.2,14.24,25.55,NA,,NA,,1.01,2.32,9.07%,6.10%,2.97%
1880.06,4.79,0.23,0.44,9.23,1880.46,3.89,163.48,7.85,294.5,14.85,26.75,NA,,NA,,1.01,2.38,8.71%,5.84%,2.87%
1880.07,5.01,0.24,0.44,9.23,1880.54,3.86,170.99,8.02,309.23,15.16,27.42,NA,,NA,,1.01,2.39,8.14%,5.80%,2.34%
1880.08,5.19,0.24,0.45,9.23,1880.62,3.83,177.13,8.19,321.58,15.47,28.09,NA,,NA,,1.01,2.41,7.11%,5.38%,1.73%
1880.09,5.18,0.25,0.46,9.32,1880.71,3.81,174.99,8.28,318.93,15.62,28.48,NA,,NA,,1.01,2.4,6.93%,5.32%,1.61%
1880.1,5.33,0.25,0.47,9.32,1880.79,3.78,180.06,8.45,329.45,15.93,29.16,NA,,NA,,1.01,2.41,6.13%,5.28%,0.85%
1880.11,5.61,0.26,0.48,9.42,1880.87,3.75,187.6,8.53,344.56,16.08,29.53,NA,,NA,,1.01,2.4,5.15%,5.60%,-0.45%
1880.12,5.84,0.26,0.49,9.51,1880.96,3.73,193.34,8.61,356.41,16.22,29.9,NA,,NA,,1.01,2.39,4.59%,5.66%,-1.08%
1881.01,6.19,0.27,0.49,9.42,1881.04,3.7,207,8.86,382.95,16.25,30.05,18.47,,24.14,-1.05%,1,2.42,4.54%,5.65%,-1.11%
1881.02,6.17,0.27,0.48,9.51,1881.12,3.69,204.26,8.94,379.27,15.95,29.61,18.15,,23.66,-1.14%,1,2.41,4.68%,5.62%,-0.94%
1881.03,6.24,0.28,0.48,9.51,1881.21,3.69,206.58,9.1,384.99,15.81,29.46,18.27,,23.77,-1.31%,1,2.42,4.24%,5.49%,-1.25%
1881.04,6.22,0.28,0.47,9.61,1881.29,3.68,203.88,9.18,381.38,15.51,29.02,17.95,,23.31,-0.75%,1,2.4,4.60%,5.46%,-0.87%
1881.05,6.5,0.29,0.47,9.51,1881.37,3.67,215.19,9.44,404,15.53,29.16,18.87,,24.46,-0.89%,1,2.43,4.12%,5.48%,-1.36%
1881.06,6.58,0.29,0.47,9.51,1881.46,3.67,217.84,9.6,410.48,15.39,29.01,19.03,,24.62,-0.77%,1,2.44,4.03%,5.73%,-1.70%
1881.07,6.35,0.3,0.46,9.61,1881.54,3.66,208.14,9.67,393.73,15.1,28.57,18.12,,23.4,-0.40%,1,2.43,4.46%,5.96%,-1.50%
1881.08,6.2,0.3,0.46,9.8,1881.62,3.65,199.28,9.64,378.48,14.68,27.88,17.29,,22.29,0.21%,1,2.39,5.26%,6.16%,-0.91%
1881.09,6.25,0.31,0.45,10.18,1881.71,3.65,193.38,9.44,368.76,14,26.7,16.72,,21.54,0.56%,1,2.31,6.53%,6.69%,-0.17%
1881.1,6.15,0.31,0.45,10.28,1881.79,3.64,188.52,9.5,361.01,13.74,26.32,16.26,,20.93,0.67%,1,2.29,6.79%,6.79%,0.00%
1881.11,6.19,0.32,0.44,10.18,1881.87,3.63,191.52,9.75,368.31,13.74,26.43,16.48,,21.19,0.51%,1,2.32,6.58%,6.82%,-0.23%
1881.12,6.01,0.32,0.44,10.18,1881.96,3.63,185.95,9.9,359.19,13.61,26.3,15.96,,20.51,0.49%,1,2.33,7.21%,6.81%,0.40%
1882.01,5.92,0.32,0.44,10.18,1882.04,3.62,183.17,9.9,355.4,13.59,26.37,15.68,,20.14,0.61%,1,2.34,7.83%,7.08%,0.75%
1882.02,5.79,0.32,0.44,10.28,1882.12,3.62,177.48,9.81,345.97,13.44,26.19,15.15,,19.46,0.92%,1,2.33,8.18%,7.17%,1.01%
1882.03,5.78,0.32,0.44,10.28,1882.21,3.62,177.18,9.81,346.96,13.41,26.26,15.09,,19.38,0.80%,1,2.33,8.59%,7.45%,1.14%
1882.04,5.78,0.32,0.44,10.37,1882.29,3.62,175.55,9.72,345.36,13.26,26.09,14.92,,19.15,0.75%,1,2.32,8.80%,7.68%,1.12%
1882.05,5.71,0.32,0.44,10.47,1882.37,3.62,171.85,9.63,339.66,13.12,25.92,14.57,,18.7,1.00%,1,2.3,9.02%,7.77%,1.25%
1882.06,5.68,0.32,0.44,10.56,1882.46,3.62,169.41,9.54,336.4,12.97,25.76,14.33,,18.39,1.27%,1,2.29,9.10%,7.85%,1.25%
1882.07,6,0.32,0.43,10.47,1882.54,3.63,180.58,9.63,360.18,13.07,26.07,15.24,,19.56,0.91%,1,2.32,8.11%,7.46%,0.65%
1882.08,6.18,0.32,0.43,10.56,1882.62,3.63,184.32,9.54,369.23,12.92,25.89,15.53,,19.91,0.80%,1,2.3,7.89%,7.41%,0.49%
1882.09,6.24,0.32,0.43,10.28,1882.71,3.63,191.28,9.81,384.81,13.26,26.67,16.08,,20.62,0.24%,1,2.37,7.21%,7.10%,0.11%
1882.1,6.07,0.32,0.43,10.18,1882.79,3.63,187.81,9.9,379.48,13.36,26.99,15.76,,20.19,0.49%,1,2.4,7.62%,6.99%,0.62%
1882.11,5.81,0.32,0.43,10.09,1882.87,3.63,181.46,9.99,368.34,13.45,27.31,15.19,,19.47,0.35%,1,2.43,7.66%,6.61%,1.05%
1882.12,5.84,0.32,0.43,9.99,1882.96,3.63,184.13,10.09,375.47,13.56,27.65,15.38,,19.7,0.32%,1,2.46,7.24%,6.37%,0.88%
1883.01,5.81,0.32,0.43,9.99,1883.04,3.63,183.19,10.11,375.26,13.48,27.61,15.27,,19.56,0.36%,1,2.47,7.08%,5.97%,1.12%
1883.02,5.68,0.32,0.43,10.09,1883.12,3.63,177.4,10.05,365.12,13.27,27.32,14.76,,18.9,0.47%,1,2.45,7.10%,5.94%,1.15%
1883.03,5.75,0.32,0.42,9.99,1883.21,3.63,181.29,10.17,374.88,13.32,27.55,15.05,,19.27,0.25%,1,2.49,6.72%,6.10%,0.61%
1883.04,5.87,0.32,0.42,9.9,1883.29,3.63,186.86,10.29,388.16,13.37,27.77,15.48,,19.82,-0.03%,1,2.52,6.52%,6.13%,0.38%
1883.05,5.77,0.32,0.42,9.8,1883.37,3.63,185.46,10.42,387.06,13.42,28.01,15.34,,19.63,0.15%,1,2.55,5.74%,6.17%,-0.43%
1883.06,5.82,0.33,0.42,9.51,1883.46,3.63,192.68,10.76,403.99,13.74,28.81,15.9,,20.36,-0.08%,1,2.63,5.09%,6.13%,-1.04%
1883.07,5.73,0.33,0.41,9.32,1883.54,3.63,193.57,11.01,407.79,13.93,29.36,15.95,,20.41,-0.29%,1,2.7,4.29%,6.19%,-1.90%
1883.08,5.47,0.33,0.41,9.32,1883.62,3.62,184.79,11.04,391.22,13.85,29.32,15.2,,19.45,0.02%,1,2.7,4.94%,6.62%,-1.68%
1883.09,5.53,0.33,0.41,9.23,1883.71,3.62,188.74,11.18,401.56,13.91,29.59,15.49,,19.83,-0.20%,1,2.74,5.02%,6.09%,-1.07%
1883.1,5.38,0.33,0.41,9.23,1883.79,3.62,183.62,11.2,392.66,13.82,29.56,15.05,,19.26,0.21%,1,2.75,5.47%,5.96%,-0.48%
1883.11,5.46,0.33,0.4,9.13,1883.87,3.62,188.29,11.35,404.67,13.88,29.83,15.41,,19.72,0.26%,1,2.79,5.64%,6.13%,-0.49%
1883.12,5.34,0.33,0.4,9.23,1883.96,3.62,182.25,11.26,393.71,13.65,29.49,14.9,,19.07,0.36%,1,2.77,5.75%,6.38%,-0.64%
1884.01,5.18,0.33,0.39,9.23,1884.04,3.62,176.79,11.2,383.93,13.4,29.09,14.43,,18.48,0.42%,1,2.78,6.14%,6.68%,-0.54%
1884.02,5.32,0.33,0.39,9.23,1884.12,3.61,181.57,11.15,396.33,13.14,28.68,14.81,,18.96,0.26%,1,2.79,6.14%,6.84%,-0.70%
1884.03,5.3,0.33,0.38,9.23,1884.21,3.6,180.89,11.09,396.86,12.88,28.27,14.74,,18.88,0.30%,1,2.8,6.79%,7.16%,-0.37%
1884.04,5.06,0.32,0.37,9.04,1884.29,3.6,176.33,11.27,388.92,12.89,28.44,14.35,,18.4,0.43%,1,2.87,7.19%,6.94%,0.25%
1884.05,4.65,0.32,0.36,8.85,1884.37,3.59,165.53,11.45,367.2,12.9,28.63,13.47,,17.27,0.77%,1,2.94,7.45%,6.73%,0.72%
1884.06,4.46,0.32,0.36,8.85,1884.46,3.58,158.77,11.39,354.3,12.64,28.2,12.91,,16.58,1.33%,1,2.95,7.74%,6.74%,1.00%
1884.07,4.46,0.32,0.35,8.75,1884.54,3.57,160.49,11.45,360.28,12.5,28.07,13.04,,16.77,1.08%,1,2.99,7.38%,6.63%,0.74%
1884.08,4.74,0.32,0.34,8.75,1884.62,3.56,170.57,11.4,385.03,12.23,27.62,13.86,,17.83,0.71%,1,3,6.80%,6.34%,0.46%
1884.09,4.59,0.32,0.33,8.66,1884.71,3.55,166.98,11.46,379.1,12.1,27.46,13.57,,17.47,0.77%,1,3.05,7.03%,6.09%,0.94%
1884.1,4.44,0.31,0.33,8.56,1884.79,3.55,163.32,11.52,372.97,11.95,27.3,13.27,,17.11,0.99%,1,3.09,7.21%,6.28%,0.93%
1884.11,4.35,0.31,0.32,8.37,1884.87,3.54,163.65,11.73,375.94,11.94,27.44,13.3,,17.17,0.85%,1,3.17,7.17%,6.05%,1.12%
1884.12,4.34,0.31,0.31,8.28,1884.96,3.53,165.15,11.8,381.65,11.8,27.26,13.43,,17.36,0.67%,1,3.22,7.11%,6.09%,1.02%
1885.01,4.24,0.3,0.31,8.28,1885.04,3.52,161.34,11.58,375.08,11.67,27.13,13.13,,16.99,0.85%,1,3.23,7.21%,6.10%,1.11%
